|id |nombre                                                |descripcion                            |precio   |stock |imagen                                                              |categoria_id|
|52 |alfajor chocoarroz ddleche 6x22gr                     |Chocoarroz                             |5.505,79 |580   |productos/alfajor_chocoarroz_ddleche_6x22gr.png                     |20          |
|53 |alfajor chocoarroz limon 6x22gr                       |Chocoarroz                             |5.505,79 |325   |productos/alfajor_chocoarroz_limon_6x22gr.png                       |20          |
|54 |arandanos deshidratados kos food 100gr                |KoS Food                               |3.121,09 |255   |productos/arandanos_deshidratados_kos_food_100gr.png                |20          |
|55 |avena arrollada fina kos food 350gr                   |KoS Food                               |1.920,89 |400   |productos/avena_arrollada_fina_kos_food_350gr.png                   |20          |
|56 |avena instantanea kos food 350gr                      |KoS Food                               |1.920,89 |500   |productos/avena_instantanea_kos_food_350gr.png                      |20          |
|57 |bizcochuelo mama cocina sin tacc vainilla 450gr       |Mama Cocina                            |3.466,39 |500   |productos/bizcochuelo_mama_cocina_sin_tacc_vainilla_450gr.png       |20          |
|58 |chips de banana kos food 100 gr                       |KoS Food                               |2.774,79 |800   |productos/chips_de_banana_kos_food_100_gr.webp                      |20          |
|59 |ciruelas presidente kos food 200gr                    |KoS Food                               |4.775,69 |544   |productos/ciruelas_presidente_kos_food_200gr.png                    |20          |
|60 |coco en escamas kos food 75gr                         |KoS Food                               |4.201,59 |600   |productos/coco_en_escamas_kos_food_75gr.png                         |20          |
|61 |coco rallado kos food 100gr                           |KoS Food                               |2.280,79 |256   |productos/coco_rallado_kos_food_100gr.png                           |20          |
|62 |datiles deshidratados kos food 200gr                  |KoS Food                               |3.361,29 |655   |productos/datiles_deshidratados_kos_food_200gr.png                  |20          |
|63 |discos de arroz arronor con sal x 100 gr              |Arronor                                |1.539,19 |600   |productos/discos_de_arroz_arronor_con_sal_x_100_gr.webp             |20          |
|64 |discos de arroz arronor dulce x 100gr                 |Arronor                                |1.539,19 |800   |productos/discos_de_arroz_arronor_dulce_x_100gr.png                 |20          |
|65 |discos de arroz arronor sin sal x 100 gr              |Arronor                                |1.539,19 |300   |productos/discos_de_arroz_arronor_sin_sal_x_100_gr.webp             |20          |
|66 |discos de arroz grandiet sin sal x 100                |Grandiet                               |1.350,99 |800   |productos/discos_de_arroz_grandiet_sin_sal_x_100.webp               |20          |
|67 |fideo wakas fusilli multi amaranto 300gr              |Wakas                                  |4.120,49 |800   |productos/fideo_wakas_fusilli_multi_amaranto_300gr_IEGQYKi.png      |20          |
|68 |fideo wakas fusilli multice quinua 300gr              |Wakas                                  |4.120,49 |500   |productos/fideo_wakas_fusilli_multice_quinua_300gr_vr5Bx2E.png      |20          |
|69 |fideo wakas fusilli multicer chia 300gr               |Wakas                                  |4.120,49 |800   |productos/fideo_wakas_fusilli_multicer_chia_300gr_pPr4MxV.png       |20          |
|70 |Wakas                                                 |fideo wakas fusilli multicer kale 300gr|4.120,49 |550   |productos/fideo_wakas_fusilli_multicer_kale_300gr_JunGtvf.png       |20          |
|71 |fideo wakas fusilli multicer maiz 300gr               |Wakas                                  |4.120,49 |400   |productos/fideo_wakas_fusilli_multicer_maiz_300gr_nLn4I8B.png       |20          |
|72 |fideo wakas penne rigate mult maiz 300gr              |Wakas                                  |4.120,49 |600   |productos/fideo_wakas_penne_rigate_mult_maiz_300gr_C73sWqg.png      |20          |
|73 |galleta chikitas coco x 180 gr                        |Chikitas                               |2.631,19 |700   |productos/galleta_chikitas_coco_x_180_gr.png                        |20          |
|74 |galleta de arroz leiva tostadas clasic x150g          |Leiva                                  |1.736,09 |800   |productos/galleta_de_arroz_leiva_tostadas_clasic_x150g.webp         |20          |
|75 |galleta de arroz leiva tostadas dulces x150g          |Leiva                                  |1.736,09 |200   |productos/galleta_de_arroz_leiva_tostadas_dulces_x150g.webp         |20          |
|76 |galleta de arroz molinos del bosque dulce 150g        |Molinos Del Bosque                     |2.721,69 |800   |productos/galleta_de_arroz_molinos_del_bosque_dulce_150g.png        |20          |
|77 |galleta de arroz molinos del bosque light 150g        |Molinos Del Bosque                     |2.721,69 |711   |productos/galleta_de_arroz_molinos_del_bosque_light_150g.png        |20          |
|78 |galleta de arroz molinos del bosque original 150g     |Molinos Del Bosque                     |2.721,69 |466   |productos/galleta_de_arroz_molinos_del_bosque_original_150g.png     |20          |
|79 |KoS Food                                              |granola kos food berries 150gr         |2.468,99 |477   |productos/granola_kos_food_berries_150gr.png                        |20          |
|80 |granola kos food energetica 150gr                     |KoS Food                               |2.468,99 |744   |productos/granola_kos_food_energetica_150gr.png                     |20          |
|81 |granola kos food live 1kg                             |KoS Food                               |9.626,29 |744   |productos/granola_kos_food_live_1kg.png                             |20          |
|82 |granola kos food tradicional 1kg                      |KoS Food                               |9.626,29 |733   |productos/granola_kos_food_live_1kg_gKKaCWu.png                     |20          |
|83 |granola kos food tradicional 400gr                    |KoS Food                               |4.909,89 |621   |productos/granola_kos_food_tradicional_400gr.png                    |20          |
|84 |granola kos food tropical 1kg                         |KoS Food                               |9.626,29 |641   |productos/granola_kos_food_tropical_1kg.png                         |20          |
|85 |granola kos food tropical 400gr                       |KoS Food                               |4.909,89 |471   |productos/granola_kos_food_tropical_400gr.png                       |20          |
|86 |granola maizena coco y semillas 150 gr                |Maizena                                |5.737,69 |471   |productos/granola_maizena_arándanos_y_almendras_150_gr.jpg          |20          |
|87 |harina sturla lino 250gr                              |Sturla                                 |2.287,99 |789   |productos/harina_sturla_lino_250gr.png                              |20          |
|88 |harina sturla garbanzo 250 gr                         |Sturla                                 |1.578,79 |477   |productos/harina_sturla_garbanzo_250_gr.png                         |20          |
|89 |maizena prem bizco s/tacc vain 450g                   |Maizena                                |5.799,09 |774   |productos/maizena_prem_bizco_sin_tacc_vain_450g.jpg                 |20          |
|90 |maizena prem pan/pizza 500g                           |Maizena                                |4.360,79 |665   |productos/maizena_prem_pan-pizza_500g.jpg                           |20          |
|91 |maizena prem p/tapas alfajor 400g                     |Maizena                                |2.902,69 |358   |productos/maizena_prem_para_tapas_alfajor_400g.jpg                  |20          |
|92 |maizena reboz 12x350g                                 |Maizena                                |4.216,19 |358   |productos/maizena_reboz_12x350g.jpg                                 |20          |
|93 |mani con cascara x 1 kg                               |Producto exclusivo                     |359,99   |477   |productos/mani_con_cascara_x_1_kg.webp                              |20          |
|94 |mani honey beepure roasted flowpack 80gr              |Beepure                                |2.263,39 |365   |productos/mani_honey_beepure_roasted_flowpack_80gr.png              |20          |
|95 |mix applenuts kos food 200gr                          |KoS Food                               |4.662,39 |458   |productos/mix_applenuts_kos_food_200gr.png                          |20          |
|96 |mix clasico beepure flowpack 80gr                     |Beepure                                |2.939,39 |753   |productos/mix_clasico_beepure_flowpack_80gr.png                     |20          |
|97 |mixto compota kos food 200gr                          |KoS Food                               |4.873,49 |358   |productos/mixto_compota_kos_food_200gr.png                          |20          |
|98 |nuez concascara x 1 kg                                |producto exclusivo                     |1.060    |254   |productos/nuez_concascara_x_1_kg.webp                               |20          |
|99 |pasas de uva rubias kos food 100gr                    |KoS Food                               |2.232,89 |774   |productos/pasas_de_uva_rubias_kos_food_100gr.png                    |20          |
|100|semilla chia sturla 250gr                             |Sturla                                 |4.237,99 |335   |productos/semilla_chia_sturla_250gr.png                             |20          |
|101|semilla lino sturla entera 250 gr                     |KoS Food                               |2.097,69 |335   |productos/harina_sturla_lino_250gr_3uBBQVT.png                      |20          |
|102|semillas mix ensaladas genser dp 150gr                |Genser                                 |2.391,99 |335   |productos/semillas_mix_ensaladas_genser_dp_150gr.png                |20          |
|103|tomates deshidratados kos food 80gr                   |KoS Food                               |3.480,89 |442   |productos/tomates_deshidratados_kos_food_80gr.png                   |20          |
|104|tostadas arroz molinos ala integral sin sal 150gr     |Molinos Ala                            |1.799    |366   |productos/tostadas_arroz_molinos_ala_integral_sin_sal_150gr.png     |20          |
|105|tostadas de arroz cerealitas 160gr                    |Cerealitas                             |3.486,09 |557   |productos/tostadas_de_arroz_cerealitas_160gr.webp                   |20          |
|106|tostadas de arroz molinos ala veggei 150gr            |Molinos Ala                            |2.616,69 |587   |productos/tostadas_de_arroz_molinos_ala_veggei_150gr.png            |20          |
|107|tostaditas arroz molinos ala clasic 100g              |Molinos Ala                            |1.496,59 |336   |productos/tostaditas_arroz_molinos_ala_clasic_100g.png              |20          |
|108|capeletini giacomo queso y jamon x 500gr              |Giacomo                                |4.999    |355   |productos/capeletini_giacomo_queso_y_jamon_x_500gr.webp             |15          |
|109|capeletini giacomo tridicci x 500 gr                  |Giacomo                                |4.999    |741   |productos/capeletini_giacomo_tridicci_x_500_gr.webp                 |15          |
|110|capeletini giacomo verdura x 500 gr                   |Giacomo                                |4.999    |740   |productos/capeletini_giacomo_verdura_x_500_gr.webp                  |15          |
|111|fideo ambar codito 500gr                              |Ambar                                  |649,99   |350   |productos/fideo_ambar_codito_500gr.png                              |15          |
|112|fideo ambar dedalito 500gr                            |Ambar                                  |649,99   |350   |productos/fideo_ambar_dedalito_500gr.png                            |15          |
|113|fideo ambar mostachol 500gr                           |Ambar                                  |649,99   |358   |productos/fideo_ambar_mostachol_500gr.png                           |15          |
|114|fideo ambar rigatti 500gr                             |Ambar                                  |649,99   |521   |productos/fideo_ambar_rigatti_500gr.png                             |15          |
|115|fideo ambar tallarin 500gr                            |Ambar                                  |649,99   |350   |productos/fideo_ambar_tallarin_500gr.png                            |15          |
|116|fideo ambar tirabuzon 500gr                           |Ambar                                  |649,99   |740   |productos/fideo_ambar_tirabuzon_500gr.png                           |15          |
|117|fideo don felipe tallarin x 500 gr                    |Don Felipe                             |2.361,89 |350   |productos/fideo_don_felipe_tallarin_x_500_gr.webp                   |15          |
|118|fideo don vicente caserito x 500 gr                   |Don Vicente                            |3.279,19 |758   |productos/fideo_don_vicente_caserito_x_500_gr.png                   |15          |
|119|fideo don vicente moños x 500 gr                      |Don Vicente                            |4.369,09 |570   |productos/fideo_don_vicente_moños_x_500_gr.png                      |15          |
|120|fideo favorita codito 500gr                           |Favorita                               |831,99   |780   |productos/fideo_favorita_codito_500gr.png                           |15          |
|121|fideo favorita mostachol rayado x 500 gr              |Favorita                               |831,99   |780   |productos/fideo_favorita_mostachol_rayado_x_500_gr.png              |15          |
|122|fideo favorita spaguetti x 500 gr                     |Favorita                               |831,99   |360   |productos/fideo_favorita_spaguetti_x_500_gr.png                     |15          |
|123|fideo favorita tallarin x 500 gr                      |Favorita                               |831,99   |360   |productos/fideo_favorita_tallarin_x_500_gr.png                      |15          |
|124|fideo ambar tirabuzon 500gr                           |Ambar                                  |649,99   |470   |productos/fideo_favorita_tirabuzon_x_500_gr.png                     |15          |
|125|fideo la americana tallarin amarillo 500gr            |La americana                           |1.313,39 |577   |productos/fideo_la_americana_tallarin_amarillo_500gr.png            |15          |
|126|fideo la americana tallarin verdes 500gr              |La Americana                           |1.313,39 |877   |productos/fideo_la_americana_tallarin_verdes_500gr.png              |15          |
|127|fideo la morocha codito 500gr                         |La Morocha                             |1.438,89 |741   |productos/fideo_la_morocha_codito_500gr.png                         |15          |
|128|fideo lucchetti cabello de angel x 500gr              |lucchetti                              |2.546,99 |558   |productos/fideo_lucchetti_cabello_de_angel_x_500gr.webp             |15          |
|129|fideo lucchetti dedalito x 500 gr                     |lucchetti                              |1.279,19 |335   |productos/fideo_lucchetti_dedalito_x_500_gr.webp                    |15          |
|130|fideo lucchetti mostachol 500gr                       |lucchetti                              |1.279,19 |587   |productos/fideo_lucchetti_mostachol_500gr.png                       |15          |
|131|fideo lucchetti spaghetti x 500 gr                    |lucchetti                              |1.455,99 |140   |productos/fideo_lucchetti_spaghetti_x_500_gr.png                    |15          |
|132|fideo lucchetti tallarin x 500 gr                     |lucchetti                              |1.455,99 |558   |productos/fideo_lucchetti_tallarin_x_500_gr.png                     |15          |
|133|fideo lucchetti tirabuzon 3 vegetales x 500gr         |lucchetti                              |1.870,99 |870   |productos/fideo_terrabusi_tirabuzon_3_veg_500_gr.webp               |15          |
|134|fideo lucchetti tirabuzon x 500 gr                    |lucchetti                              |1.279,19 |540   |productos/fideo_lucchetti_tirabuzon_x_500_gr.png                    |15          |
|135|fideo matarazzo integral tirabuzon 500g               |Matarazzo                              |2.214,89 |887   |productos/fideo_matarazzo_integral_tirabuzon_500gr.webp             |15          |
|136|fideo matarazzo integral spaguetti 500gr              |Matarazzo                              |2.215,19 |887   |productos/fideo_matarazzo_integral_spaguetti_500gr.webp             |15          |
|137|fideo matarazzo mostachol rayado 500gr                |Matarazzo                              |1.695,19 |557   |productos/fideo_matarazzo_mostachol_rayado_500gr.webp               |15          |
|138|fideo matarazzo penne rigate x 500 gr                 |Matarazzo                              |1.695,19 |547   |productos/fideo_matarazzo_penne_rigate_x_500_gr.webp                |15          |
|139|fideo matarazzo tallarin x 500 gr                     |Matarazzo                              |1.695,19 |554   |productos/fideo_matarazzo_tallarin_x_500_gr.webp                    |15          |
|140|fideo matarazzo tirabuzon x 500 gr                    |Matarazzo                              |1.695,19 |441   |                                                                    |15          |
|141|fideo pastasole mostachol 500gr                       |Pastasole                              |1.037,89 |554   |productos/fideo_pastasole_mostachol_500gr.png                       |15          |
|142|fideo pastasole spaghetti 500gr                       |Pastasole                              |1.037,89 |441   |productos/fideo_pastasole_spaghetti_500gr.png                       |15          |
|143|fideo pastasole tallarin 500gr                        |Pastasole                              |1.037,89 |557   |productos/fideo_pastasole_tallarin_500gr.png                        |15          |
|144|fideo rivoli tirabuzon 500 gr                         |Rivoli                                 |1.201,19 |336   |productos/fideo_rivoli_tirabuzon_500_gr.png                         |15          |
|145|fideo san agustin mostachol 500gr                     |San Agustín                            |892,39   |774   |productos/fideo_san_agustin_mostachol_500gr.png                     |15          |
|146|fideo san agustin ñoquis 500gr                        |San Agustín                            |892,39   |587   |productos/fideo_san_agustin_ñoquis_500gr.png                        |15          |
|147|fideo terrabusi mostachol 3 veg 500 gr                |Terrabusi                              |1.124,99 |887   |productos/fideo_terrabusi_mostachol_3_veg_500_gr.webp               |15          |
|148|fideo terrabusi tirabuzon 3 veg 500 gr                |Terrabusi                              |1.124,99 |336   |productos/fideo_terrabusi_tirabuzon_3_veg_500_gr_ADbzcgW.webp       |15          |
|149|fideo vazquez espigas cinta espin 500gr               |Vázquez                                |3.460,09 |774   |productos/fideo_vazquez_espigas_cinta_huevo_500gr.png               |15          |
|150|fideo vazquez nido cinta 4 pappard 500gr              |Vázquez                                |3.460,09 |447   |productos/fideo_vazquez_nido_cinta_4_pappard_500gr.png              |15          |
|151|fideo vazquez nido cinta al huevo x500gr              |Vázquez                                |3.460,09 |874   |productos/fideo_vazquez_nido_cinta_al_huevo_x500gr.png              |15          |
|152|fideo vazquez nido cinta espinaca x500gr              |Vázquez                                |3.460,09 |541   |productos/fideo_vazquez_nido_cinta_espinaca_x500gr.png              |15          |
|153|lasagna matarazzo fortificada x 250 gr                |Matarazzo                              |2.440,89 |241   |productos/lasagna_matarazzo_fortificada_x_250_gr.webp               |15          |
|154|puré de tomate alco tetra 520gr                       |Alco                                   |883,29   |354   |productos/puré_de_tomate_alco_tetra_520gr.png                       |15          |
|155|pure de tomate arcor x 520 gr                         |Arcor                                  |1.203,29 |774   |productos/pure_de_tomate_arcor_x_520_gr.png                         |15          |
|156|pulpa de tomate la campagnola x 530 gr                |La Campagnola                          |1.203,29 |336   |productos/pure_de_tomate_la_campagnola_x_530_gr.png                 |15          |
|157|pure de tomate noel x 520 gr                          |Noel                                   |989,09   |588   |productos/pure_de_tomate_noel_x_520_gr.png                          |15          |
|158|pure de tomate sabores del valle x 520gr              |Sabores Del Valle                      |898,59   |774   |productos/pure_de_tomate_sabores_del_valle_x_520gr.png              |15          |
|159|ramen arcor pollo picante 70gr                        |Arcor                                  |1.642,19 |654   |productos/ramen_arcor_pollo_picante_70gr.png                        |15          |
|160|ramen arcor sabor carne 70gr                          |Arcor                                  |1.642,19 |254   |productos/ramen_arcor_sabor_carne_70gr.png                          |15          |
|161|ramen arcor sabor pollo 70gr                          |Arcor                                  |1.642,19 |547   |productos/ramen_arcor_sabor_pollo_70gr.png                          |15          |
|162|salsa knorr guisos y arroces 340 gr                   |Knorr                                  |1.050    |655   |productos/salsa_knorr_guisos_y_arroces_340_gr.png                   |15          |
|163|salsa lista knorr filetto 340 g                       |Knorr                                  |1.050    |741   |productos/salsa_lista_knorr_filetto_340_g.png                       |15          |
|164|salsa lista knorr pizza 200 g                         |Knorr                                  |730,07   |654   |productos/salsa_lista_knorr_pizza_200_g.png                         |15          |
|165|salsa lista knorr pizza 340 g                         |Knorr                                  |1.050    |654   |productos/salsa_lista_knorr_pizza_340_g.png                         |15          |
|166|salsa lista knorr pomarola 340 g                      |Knorr                                  |1.050    |774   |productos/salsa_lista_knorr_pomarola_340_g.png                      |15          |
|167|salsa lista knorr pomarola balance 340g               |Knorr                                  |1.050    |665   |productos/salsa_lista_knorr_pomarola_balance_340g.png               |15          |
|168|tomate perita arcor x 400 gr                          |Arcor                                  |1.318,79 |541   |productos/tomate_perita_arcor_x_400_gr.jpg                          |15          |
|169|tomate triturado dulcor 960gr                         |Dulcor                                 |2.460,69 |441   |productos/tomate_triturado_dulcor_960gr.png                         |15          |
|170|fecula de maiz ital x 1kg                             |Ital                                   |3.943,69 |668   |productos/fecula_de_maiz_ital_x_1kg.webp                            |13          |
|171|fecula de maiz ital x 200 gr                          |Ital                                   |959,99   |741   |productos/fecula_de_maiz_ital_x_200_gr.webp                         |13          |
|172|fecula de maiz ital x 500 gr                          |Ital                                   |2.202,79 |741   |productos/fecula_de_maiz_ital_x_500_gr.webp                         |13          |
|173|harina blancaflor convitamina x 1 kg                  |Blancaflor                             |1.953,19 |741   |productos/harina_blancaflor_convitamina_x_1_kg.png                  |13          |
|174|harina blancaflor integral 1 kg                       |Blancaflor                             |2.048,79 |587   |productos/harina_blancaflor_integral_1_kg.webp                      |13          |
|175|harina blancaflor pizza 1 kg                          |Blancaflor                             |2.139,29 |741   |productos/harina_blancaflor_pizza_1_kg.png                          |13          |
|176|harina cañuela 000 x 1 kg                             |Cañuelas                               |893,39   |741   |productos/harina_cañuela_000_x_1_kg.webp                            |13          |
|177|harina favorita 0000 con vitamina x 1 kg              |Favorita                               |1.382,19 |748   |productos/harina_favorita_0000_con_vitamina_x_1_kg.jpg              |13          |
|178|harina favorita con vitamina x 1 kg                   |Favorita                               |947,49   |669   |productos/harina_favorita_con_vitamina_x_1_kg.png                   |13          |
|179|harina florencia 000 x 1 kg                           |Florencia                              |915,19   |478   |productos/harina_florencia_000_x_1_kg.png                           |13          |
|180|harina pureza 100% integral 1kg                       |Pureza                                 |2.058,19 |668   |productos/harina_pureza_100_integral_1kg.png                        |13          |
|181|harina pureza 100% integral para pizza 1kg            |Pureza                                 |2.404,49 |654   |productos/harina_pureza_100_integral_para_pizza_1kg.png             |13          |
|182|harina pureza con levadura esp para pan 1kg           |Pureza                                 |2.123,69 |741   |productos/harina_pureza_con_levadura_esp_para_pan_1kg.png           |13          |
|183|harina pureza con levadura esp parapizza 1kg          |Pureza                                 |2.123,69 |663   |productos/harina_pureza_con_levadura_esp_parapizza_1kg.png          |13          |
|184|harina pureza especial masa madre 1 kg                |Pureza                                 |2.472,09 |778   |productos/harina_pureza_especial_masa_madre_1_kg.png                |13          |
|185|harina pureza integral leudante 1kg                   |Pureza                                 |2.687,39 |556   |productos/harina_pureza_integral_leudante_1kg.png                   |13          |
|186|harina pureza leudante ultra ref 1 kg                 |Pureza                                 |1.428,99 |554   |productos/harina_pureza_leudante_ultra_ref_1_kg.png                 |13          |
|187|maizena almidon de maiz 500g                          |Maizena                                |2.942,99 |471   |productos/maizena_almidon_de_maiz_500g.jpg                          |13          |
|188|maizena almidon de maiz 220g                          |Maizena                                |2.389,99 |632   |productos/maizena_almidon_de_maiz_220g.jpg                          |13          |
|189|premezcla ñoquis mama cocina plus 400gr               |Mama Cocina                            |3.248,99 |447   |productos/premezcla_ñoquis_mama_cocina_plus_400gr.jpg               |13          |
|190|premezcla pizza mama cocina plus 500gr                |Mama Cocina                            |1.774,29 |471   |productos/premezcla_pizza_mama_cocina_plus_500gr.webp               |13          |
|191|premezcla pizza pureza gourmet 550gr                  |Mama Cocina                            |2.135,19 |665   |productos/premezcla_pizza_mama_cocina_plus_500gr_1ovRoLf.webp       |13          |
|192|premezcla pizza pureza masa madre 550gr               |Mama Cocina                            |2.226,69 |447   |productos/premezcla_pizza_pureza_masa_madre_550gr.png               |13          |
|193|baño repostero aguila blanco 150gr                    |Aguila                                 |5.855,19 |887   |productos/baño_repostero_aguila_blanco_150gr.webp                   |17          |
|194|baño repostero aguila celeste 150gr                   |Aguila                                 |3.903,19 |471   |productos/baño_repostero_aguila_celeste_150gr.webp                  |17          |
|195|baño repostero aguila leche 150gr                     |Aguila                                 |5.855,19 |661   |productos/baño_repostero_aguila_leche_150gr.webp                    |17          |
|196|baño repostero aguila rosa 150gr                      |Aguila                                 |3.903,19 |668   |productos/baño_repostero_aguila_rosa_150gr.webp                     |17          |
|197|bicarbonato alicante nat int x 50 gr                  |Alicante                               |737,99   |558   |productos/bicarbonato_alicante_nat_int_x_50_gr.webp                 |17          |
|198|bizcochuelo exquisita esp choc x 540 gr               |Exquisita                              |3.826,19 |447   |productos/bizcochuelo_exquisita_esp_choc_x_540_gr.webp              |17          |
|199|bizcochuelo exquisita esp coco x 540 gr               |Exquisita                              |3.395,6  |554   |productos/bizcochuelo_exquisita_esp_coco_x_540_gr.webp              |17          |
|200|bizcochuelo exquisita esp limon x 540 g               |Exquisita                              |3.600,49 |741   |productos/bizcochuelo_exquisita_esp_limon_x_540_g.webp              |17          |
|201|bizcochuelo exquisita esp nja x 540 gr                |Exquisita                              |3.600,49 |447   |productos/bizcochuelo_exquisita_esp_nja_x_540_gr.webp               |17          |
|202|bizcochuelo exquisita lemonies 425 gr                 |Exquisita                              |4.462,69 |887   |productos/bizcochuelo_exquisita_lemonies_425_gr.png                 |17          |
|203|bizcochuelo exquisita torta chip x 500gr              |Exquisita                              |4.366,99 |447   |productos/bizcochuelo_exquisita_torta_chip_x_500gr.webp             |17          |
|204|bizcochuelo exquisita torta choc x 450gr              |Exquisita                              |4.366,99 |574   |productos/bizcochuelo_exquisita_torta_choc_x_450gr.webp             |17          |
|205|bizcochuelo exquisita vainilla esp x 540 gr           |Exquisita                              |2.597    |557   |productos/bizcochuelo_exquisita_vainilla_esp_x_540_gr.webp          |17          |
|206|bizcochuelo mama cocina chocolate 540gr               |Mama Cocina                            |2.762,29 |447   |productos/bizcochuelo_mama_cocina_chocolate_540gr.webp              |17          |
|207|bizcochuelo mama cocina chocolate estuche 540gr       |Mama Cocina                            |4.067,49 |447   |productos/bizcochuelo_mama_cocina_chocolate_estuche_540gr.png       |17          |
|208|bizcochuelo mama cocina vainilla 540gr                |Mama Cocina                            |2.310,89 |447   |productos/bizcochuelo_mama_cocina_vainilla_540gr.webp               |17          |
